sample_id,latitude,longitude,state,district,soil_type,sample_date,pH,N_kg_ha,P_kg_ha,K_kg_ha,Organic_Carbon_pct,Bulk_Density_g_cm3,Moisture_pct,Texture_Sand_pct,Texture_Silt_pct,Texture_Clay_pct,CEC_cmol_kg,EC_dS_m,S2_B2,S2_B3,S2_B4,S2_B8,S2_B11,S2_B12,S2_NDVI,S2_SAVI,S2_BSI
1,30.9011,75.7553,Punjab,Ludhiana,alluvial,2023-05-23,7.53,260.2,9.48,326.6,0.59,1.36,24.6,39.6,44.9,15.5,12.37,0.22,0.0547,0.0776,0.1076,0.1727,0.1305,0.0635,0.2323,0.1251,-0.0297
2,30.8673,75.7685,Punjab,Ludhiana,alluvial,2024-04-12,6.39,270.3,19.87,302.1,0.59,1.4,31.4,37.7,36.4,25.9,17.86,0.44,0.0558,0.0757,0.0935,0.1407,0.092,0.0326,0.2015,0.0964,-0.0867
3,30.9155,75.8909,Punjab,Ludhiana,alluvial,2025-04-22,8.02,234.7,17.38,448.8,0.68,1.54,34.4,58.2,14.7,27.1,16.12,0.41,0.0463,0.0581,0.0816,0.1245,0.0701,0.0228,0.2082,0.0911,-0.1482
4,30.9873,75.8796,Punjab,Ludhiana,alluvial,2022-05-18,6.89,169.7,14.2,311.1,0.4,1.41,24.3,32.8,46.4,20.8,13.08,0.23,0.0511,0.0764,0.1187,0.1706,0.1452,0.0665,0.1794,0.0986,0.0259
5,30.8631,75.8035,Punjab,Ludhiana,alluvial,2023-05-19,7.32,247.8,22.33,432.8,0.63,1.42,37.6,43.3,38.5,18.3,13.18,0.16,0.0399,0.0644,0.0794,0.1155,0.0595,0.01,0.1852,0.0779,-0.1693
6,30.9796,75.8299,Punjab,Ludhiana,alluvial,2024-05-05,7.14,287.6,12.19,368.4,0.69,1.43,28.3,52.9,25.8,21.3,12.79,0.33,0.0457,0.0823,0.0973,0.1446,0.1094,0.0387,0.1955,0.0956,-0.0415
7,30.9942,75.9222,Punjab,Ludhiana,alluvial,2025-04-22,7.74,243.8,9.08,314.5,0.53,1.65,22.6,31.6,51.5,16.8,10.71,0.31,0.0556,0.072,0.1025,0.1743,0.1498,0.0768,0.2594,0.1386,-0.0039
8,30.9001,75.7857,Punjab,Ludhiana,alluvial,2022-04-28,6.56,247.9,15.71,486.1,0.62,1.61,26.3,48.8,22.6,28.6,16.98,0.23,0.0503,0.0749,0.0944,0.1558,0.1153,0.0593,0.2454,0.1228,-0.0586
9,30.8224,75.8226,Punjab,Ludhiana,alluvial,2023-11-08,6.66,210.2,23.68,475.5,0.58,1.53,25.2,47.8,20.4,31.8,20.0,0.3,0.0543,0.07,0.1068,0.1631,0.1215,0.0625,0.2086,0.1097,-0.0314
10,30.853,75.9245,Punjab,Ludhiana,alluvial,2024-12-07,6.55,220.1,21.02,238.5,0.33,1.49,22.3,63.1,4.3,32.6,19.78,0.31,0.0656,0.0954,0.1167,0.189,0.159,0.0882,0.2365,0.1346,0.0123
11,30.8042,75.8608,Punjab,Ludhiana,alluvial,2025-05-01,7.5,216.4,23.29,335.4,0.72,1.42,34.5,54.1,15.7,30.1,17.7,0.17,0.0413,0.0646,0.0818,0.119,0.0767,0.0268,0.1853,0.0796,-0.1133
